population,fertility,HIV,CO2,BMI_male,GDP,BMI_female,life,child_mortality 
9,23E+12,1.92,0.10,5.315.688,2.637.629,43421.0,1.229.473,81.1,3.2 
7,65E+12,1.47,0.40,5.333.058,2.620.195,55020.0,1.196.465,81.9,4.7 
7,25E+12,3.70,0.20,453.168,2.377.966,2001.0,1.299.657,69.5,56.2 
4,28E+13,5.54,5.80,154.673,2.247.792,2030.0,1.308.328,59.7,72.4 
6,65E+13,1.48,1.30,3.835.102,2.300.803,12216.0,1.204.969,74.1,15.6 
6,05E+12,4.88,3.20,251.983,2.187.875,1219.0,1.310.248,60.0,96.4 
1,32E+12,1.80,1.50,31.957.717,2.639.669,30875.0,1.249.939,71.3,24.9 
1,04E+13,02.04,0.06,2.440.669,2.515.699,9938.0,1.286.291,76.5,19.4 
7,03E+13,2.15,0.06,4.021.903,2.670.371,16454.0,1.240.675,75.1,22.2 
3,10E+13,6.34,6.40,100.853,2.235.833,1437.0,1.345.204,57.2,89.3 
4,60E+13,1.38,1.10,7.032.359,2.542.379,8762.0,1.314.962,68.2,12.9 
6,17E+13,1.87,0.20,8.526.467,2.739.249,37739.0,1.240.845,79.5,5.6 
3,04E+14,02.07,0.60,18.545.992,2.845.698,50384.0,1.184.777,78.2,7.7 
3,35E+12,2.11,0.50,2.489.764,2.639.123,15317.0,1.242.604,76.0,13.0 
2,70E+13,2.46,0.10,4.476.669,2.532.054,3733.0,1.243.462,68.7,49.2 
8,66E+13,1.86,0.40,1.479.347,2.091.630,4085.0,1.219.367,75.4,26.2 
1,31E+13,5.88,13.60,148.982,2.068.321,3039.0,1.324.493,52.0,94.9 
1,35E+13,3.85,15.10,654.323,2.202.660,1286.0,1.319.745,49.0,98.3 
